datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170114|00105150346|2346923|0|1|20
6050|20170114|00105150346|2346923|0||1
6050|20170114|00105143865|2527176|0|1|20
6050|20170114|00105143865|2527176|0||1
6050|20170114|00105143100|2529009|0|1|20
6050|20170114|00105143100|2529009|0||1
6050|20170114|00105145634|2346923|0|1|20
6050|20170114|00105145634|2346923|0||1
6050|20170114|00105123006|2346923|0|1|20
6050|20170114|00105123006|2346923|0||1
6050|20170114|00105152049|2293600|0|1|20
6050|20170114|00105152049|2293600|0||1
6050|20170114|00105115722|2346923|0|1|20
6050|20170114|00105115722|2346923|0||1
6050|20170114|00105151998|2663402|0|1|20
6050|20170114|00105151998|2663402|0||1
6050|20170114|00105106621|2346923|0|1|20
6050|20170114|00105106621|2346923|0||1
6050|20170114|00105149608|2346923|0|1|20
6050|20170114|00105149608|2346923|0||1
6050|20170114|00105150923|2346923|0|1|20
6050|20170114|00105150923|2346923|0||1
6050|20170114|00105128110|2346923|0|1|20
6050|20170114|00105128110|2346923|0||1
6050|20170114|00105152016|2529099|0|1|20
6050|20170114|00105152016|2529099|0||1
6050|20170114|00105146479|2081367|0|1|20
6050|20170114|00105146479|2081367|0||1
6050|20170114|00105152304|1016750|0|1|20
6050|20170114|00105152304|1016750|0||1
6050|20170114|00105150028|2320680|0|1|20
6050|20170114|00105150028|2320680|0||1
6050|20170114|00105149731|2589960|0|1|20
6050|20170114|00105149731|2589960|0||1
6050|20170114|00105133814|2346923|0|1|20
6050|20170114|00105133814|2346923|0||1
6050|20170114|00105143792|2306493|0|.5|20
6050|20170114|00105143792|2306493|0||1
6050|20170114|00105143792|2319617|0|.5|21
6050|20170114|00105152396|2306493|0|.5|20
6050|20170114|00105152396|2306493|0||1
6050|20170114|00105152396|2319617|0|.5|21
6050|20170114|00105143571|2625403|0||1
6050|20170114|00105143571|2625403|0|1|20
6050|20170114|00105152091|2613135|0|1|20
6050|20170114|00105152091|2613135|0||1
6050|20170114|00105151070|147652|0|1|20
6050|20170114|00105151070|147652|0||1
6050|20170114|00105151847|2166891|0|1|20
6050|20170114|00105151847|2166891|0||1
6050|20170114|00105148753|2536817|0|1|20
6050|20170114|00105148753|2536817|0||1
6050|20170114|00105151742|2322322|0|1|20
6050|20170114|00105151742|2322322|0||1
6050|20170114|00105149497|2654984|0|1|20
6050|20170114|00105149497|2654984|0||1
6050|20170114|00105149087|703580|0|1|20
6050|20170114|00105149087|703580|0||1
6050|20170114|00105148169|703580|0|1|20
6050|20170114|00105148169|703580|0||1
6050|20170114|00105118684|1080098|0|1|20
6050|20170114|00105118684|1080098|0||1
6050|20170114|00105152358|2317242|0|1|20
6050|20170114|00105152358|2317242|0||1
6050|20170114|00105149876|2346923|0|1|20
6050|20170114|00105149876|2346923|0||1
6050|20170114|00105152281|2295401|0|1|20
6050|20170114|00105152281|2295401|0||1
6050|20170114|00105149495|2346923|0|1|20
6050|20170114|00105149495|2346923|0||1
6050|20170114|00105150685|2238579|0|1|20
6050|20170114|00105150685|2238579|0||1
6050|20170114|00105150687|2238579|0|1|20
6050|20170114|00105150687|2238579|0||1
6050|20170114|00105152312|2578719|0|1|20
6050|20170114|00105152312|2578719|0||1
6050|20170114|00105149036|2346923|0|1|20
6050|20170114|00105149036|2346923|0||1
6050|20170114|00105149027|2346923|0|1|20
