datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170114|00105153247|0|1||20270201|2500|0|0|20170201|0|4N
6050|20170114|00105153247|0|2||20270201|47500|0|0|20170201|0|FGNE
6050|20170114|00105151600|0|1||20420401|0|1116|278|20400401|0|R2M
6050|20170114|00105151605|0|1||20540205|0|2342.4|444|20540205|0|XDP3
6050|20170114|00105151610|0|1||20480805|0|1684.8|378|20480805|0|XDP3
6050|20170114|00105151646|0|1||20320205|0|6000|180|20320205|0|XUP1
6050|20170114|00105152111|0|2||20270201|89756|0|0|20170201|0|FGIE
6050|20170114|00105152126|0|1||20471005|0|3519.6|368|20471005|0|XDP2
6050|20170114|00105152130|0|1||20570305|0|1246.8|480|20570305|0|XDP2
6050|20170114|00105152135|0|2||20270111|92000|0|0|20170111|0|FGIE
6050|20170114|00105152135|0|1||20270111|8000|0|0|20170111|0|4I
6050|20170114|00105142026|0|1||20470605|0|6605.9|366|20470605|0|XDP1
6050|20170114|00105152654|0|1||20540601|0|837.7|424|20520601|0|R1
6050|20170114|00105143100|0|1||20440101|0|371.2|264|20390101|0|00
6050|20170114|00105152670|0|2||20580705|0|411.6|472|20560705|0|R1
6050|20170114|00105152674|0|1||20490505|0|1688.4|387|20490505|0|XDP3
6050|20170114|00105152680|0|2||20560205|0|379.2|444|20540205|0|R1
6050|20170114|00105152684|0|1||20581005|0|2824.3|499|20581005|0|XDP3
6050|20170114|00105153051|0|2||20420205|0|1356|300|20420205|0|XDP3
6050|20170114|00105153117|0|1||20460705|0|1686|353|20460705|0|XDP3
6050|20170114|00105153151|0|1||20590505|0|2823.6|506|20590505|0|XDP2
6050|20170114|00105151700|0|1||20420205|0|3489.6|300|20420205|0|XDP3
6050|20170114|00105151702|0|1||20360205|0|255.6|204|20340205|0|R2
6050|20170114|00105151713|0|1||20540505|0|1692|446|20540505|0|XDP2
6050|20170114|00105151714|0|2||20510801|0|2439.6|414|20510801|0|FGV
6050|20170114|00105151724|0|1||20270117|92683|0|0|20170117|0|FGNE
6050|20170114|00105151731|0|1||20270117|4711|0|0|20170117|0|4N
6050|20170114|00105152148|0|1||20540305|0|3074.4|444|20540305|0|XDP2
6050|20170114|00105152152|0|2||20540305|0|321.6|420|20520305|0|R2
6050|20170114|00105152155|0|1||20540305|0|321.6|420|20520305|0|R2
6050|20170114|00105152165|0|1||20360805|0|4147.2|234|20360805|0|XDP3
6050|20170114|00105152177|0|1|20340201||487805|0|0|20170201|0|LR1SC
6050|20170114|00105152700|0|2||20460105|0|358.8|323|20440105|0|R2
6050|20170114|00105152714|0|1||20510905|0|2918.4|415|20510905|0|XDP1
6050|20170114|00105152718|54|2||20350901|0|846.8|198|20330901|0|R2A
6050|20170114|00105152731|0|1||20270201|27600|0|0|20170201|0|FGIE
6050|20170114|00105152732|4|1||20420520|400000|0|0|20170120|0|PKE
6050|20170114|00105153099|0|1||20470205|0|1686|360|20470205|0|XDP3
6050|20170114|00105153122|0|1||20270201|11707|0|0|20170201|0|4I
6050|20170114|00105153172|0|1||20360201|0|1683.6|204|20340201|0|R1
6050|20170114|00105153214|0|1||20450305|0|6768|336|20450305|0|XDP3
6050|20170114|00105153375|0|1||20370205|0|1152.5|240|20370205|0|XUP2
6050|20170114|00105151810|0|1||20390205|0|6235.4|264|20390205|0|XDP2
6050|20170114|00105152180|0|1||20480205|0|1683.6|372|20480205|0|XDP3
6050|20170114|00105152191|0|2||20450205|0|3799.2|336|20450205|0|XDP3
6050|20170114|00105152191|0|1||20450205|0|710.4|312|20430205|0|R1
