datenquelle|standdatum|offertnummerintern|typ|auspraegung|vertriebspersonid
6050|20170114|00105153543|12|1|1308008
6050|20170114|00105153542|11|1|1308007
6050|20170114|00105153542|12|1|1308007
6050|20170114|00105153542|9||1308007
6050|20170114|00105153538|11|1|1308002
6050|20170114|00105153538|12|1|1308002
6050|20170114|00105153538|9||1308002
6050|20170114|00105153539|11|1|1308003
6050|20170114|00105153539|9||1308003
6050|20170114|00105153539|12|1|1308003
6050|20170114|00105153537|9||1308001
6050|20170114|00105153537|11|1|1308001
6050|20170114|00105153537|12|1|1308001
6050|20170114|00105153536|11|1|1308000
6050|20170114|00105153536|12|1|1308000
6050|20170114|00105153535|11|1|1307999
6050|20170114|00105153535|12|1|1307999
6050|20170114|00105153534|11|1|1307998
6050|20170114|00105153534|12|1|1307998
6050|20170114|00105153533|11|1|1307997
6050|20170114|00105153533|12|1|1307997
6050|20170114|00105153532|9||1307996
6050|20170114|00105153532|11|1|1307996
6050|20170114|00105153532|12|1|1307996
6050|20170114|00105153531|11|1|1307995
6050|20170114|00105153531|12|1|1307995
6050|20170114|00105153530|11|1|1307994
6050|20170114|00105153530|12|1|1307994
6050|20170114|00105153527|11|1|1307991
6050|20170114|00105153527|12|1|1307991
6050|20170114|00105153527|9||1307991
6050|20170114|00105153523|11|1|1307986
6050|20170114|00105153523|12|1|1307986
6050|20170114|00105153523|9||1307986
6050|20170114|00105153528|11|1|1307992
6050|20170114|00105153528|12|1|1307992
6050|20170114|00105153524|9||1307987
6050|20170114|00105153524|11|1|1307987
6050|20170114|00105153524|12|1|1307987
6050|20170114|00105153526|11|1|1307990
6050|20170114|00105153526|9||1307990
6050|20170114|00105153526|12|1|1307990
6050|20170114|00105126671|9||1307989
6050|20170114|00105126671|11|1|1307989
6050|20170114|00105126671|12|1|1307989
6050|20170114|00105153525|9||1307988
6050|20170114|00105153525|11|1|1307988
6050|20170114|00105153525|12|1|1307988
6050|20170114|00105153522|11|1|1307985
6050|20170114|00105153522|12|1|1307985
6050|20170114|00105153521|11|1|1307984
6050|20170114|00105153521|12|1|1307984
6050|20170114|00105123854|11|1|1275378
6050|20170114|00105123854|12|1|1275378
6050|20170114|00105123854|9||1275378
6050|20170114|00105153520|11|1|1307983
6050|20170114|00105153520|12|1|1307983
6050|20170114|00105153518|11|1|1307980
6050|20170114|00105153518|9||1307980
6050|20170114|00105153518|12|1|1307980
6050|20170114|00105145894|9||1307982
6050|20170114|00105145894|11|1|1307982
6050|20170114|00105145894|12|1|1307982
6050|20170114|00105153519|11|1|1307981
6050|20170114|00105153519|12|1|1307981
6050|20170114|00105142797|11|1|1295993
6050|20170114|00105142797|9||1295993
6050|20170114|00105142797|12|1|1295993
6050|20170114|00105149450|11|1|1303537
6050|20170114|00105149450|12|1|1303537
6050|20170114|00105149450|9||1303537
6050|20170114|00105153517|9||1307979
6050|20170114|00105153517|10|1|1307979
6050|20170114|00105153517|11|1|1307979
6050|20170114|00105153517|12|1|1307979
6050|20170114|00105153508|11|1|1307968
6050|20170114|00105153508|12|1|1307968
6050|20170114|00105153508|9||1307968
6050|20170114|00105142940|11|1|1307977
6050|20170114|00105142940|9||1307977
6050|20170114|00105142940|12|1|1307977
6050|20170114|00105153515|11|1|1307976
6050|20170114|00105153515|12|1|1307976
6050|20170114|00105153515|10|1|1307976
6050|20170114|00105153515|9||1307976
6050|20170114|00105153505|9||1307964
6050|20170114|00105153505|11|1|1307964
6050|20170114|00105153505|12|1|1307964
6050|20170114|00105153514|9||1307975
6050|20170114|00105153514|11|1|1307975
6050|20170114|00105153514|12|1|1307975
6050|20170114|00105153511|9||1307972
6050|20170114|00105153511|11|1|1307972
6050|20170114|00105153511|12|1|1307972
6050|20170114|00105153503|11|1|1307962
6050|20170114|00105153503|9||1307962
6050|20170114|00105153503|12|1|1307962
6050|20170114|00105153506|9||1307965
6050|20170114|00105153506|11|1|1307965
6050|20170114|00105153506|12|1|1307965
6050|20170114|00105153513|9||1307974
6050|20170114|00105153513|11|1|1307974
6050|20170114|00105153513|12|1|1307974
6050|20170114|00105153510|11|1|1307971
6050|20170114|00105153510|12|1|1307971
6050|20170114|00105153510|9||1307971
6050|20170114|00105153512|9||1307973
6050|20170114|00105153512|11|1|1307973
6050|20170114|00105153512|12|1|1307973
6050|20170114|00105147671|9||1307970
6050|20170114|00105147671|11|1|1307970
6050|20170114|00105147671|12|1|1307970
6050|20170114|00105153509|9||1307969
6050|20170114|00105153509|11|1|1307969
6050|20170114|00105153509|12|1|1307969
6050|20170114|00105153507|11|1|1307967
6050|20170114|00105153507|12|1|1307967
6050|20170114|00105150585|11|1|1304808
6050|20170114|00105150585|9||1304808
6050|20170114|00105150585|12|1|1304808
6050|20170114|00105153502|11|1|1307961
6050|20170114|00105153502|12|1|1307961
6050|20170114|00105153502|9||1307961
6050|20170114|00105147670|9||1307966
6050|20170114|00105147670|11|1|1307966
6050|20170114|00105147670|12|1|1307966
6050|20170114|00105153501|9||1307960
6050|20170114|00105153501|11|1|1307960
6050|20170114|00105153501|12|1|1307960
6050|20170114|00105151225|9||1305498
6050|20170114|00105151225|11|1|1305498
6050|20170114|00105151225|12|1|1305498
6050|20170114|00105153499|11|1|1307958
6050|20170114|00105153499|12|1|1307958
6050|20170114|00105153499|9||1307958
6050|20170114|00105153500|11|1|1307959
6050|20170114|00105153500|12|1|1307959
6050|20170114|00105153496|11|1|1307954
6050|20170114|00105153496|12|1|1307954
6050|20170114|00105153496|9||1307954
6050|20170114|00105148890|11|1|1302911
6050|20170114|00105148890|9||1302911
6050|20170114|00105148890|12|1|1302911
6050|20170114|00105153497|11|1|1307955
6050|20170114|00105153497|12|1|1307955
6050|20170114|00105153497|9||1307955
6050|20170114|00105153494|9||1307952
6050|20170114|00105153494|11|1|1307952
6050|20170114|00105153494|12|1|1307952
6050|20170114|00105144127|9||1307957
6050|20170114|00105144127|11|1|1307957
6050|20170114|00105144127|12|1|1307957
6050|20170114|00105153498|11|1|1307956
6050|20170114|00105153498|9||1307956
6050|20170114|00105153498|12|1|1307956
6050|20170114|00105153048|11|1|1307452
6050|20170114|00105153048|9||1307452
6050|20170114|00105153048|12|1|1307451
6050|20170114|00105153495|11|1|1307953
6050|20170114|00105153495|12|1|1307953
6050|20170114|00105153493|11|1|1307951
6050|20170114|00105153493|9||1307951
6050|20170114|00105153493|12|1|1307951
6050|20170114|00105153491|9||1307949
6050|20170114|00105153491|11|1|1307949
6050|20170114|00105153491|12|1|1307949
6050|20170114|00105153492|11|1|1307950
6050|20170114|00105153492|12|1|1307950
6050|20170114|00105153492|9||1307950
6050|20170114|00105153490|11|1|1307948
6050|20170114|00105153490|9||1307948
6050|20170114|00105153490|12|1|1307948
6050|20170114|00105153489|11|1|1307947
6050|20170114|00105153489|12|1|1307947
6050|20170114|00105152294|11|1|1306643
6050|20170114|00105152294|12|1|1306643
6050|20170114|00105152294|9||1306643
6050|20170114|00105153488|11|1|1307946
6050|20170114|00105153488|9||1307946
6050|20170114|00105153488|12|1|1307946
6050|20170114|00105153485|11|1|1307943
6050|20170114|00105153485|12|1|1307943
6050|20170114|00105153485|9||1307943
6050|20170114|00105153487|11|1|1307945
6050|20170114|00105153487|12|1|1307945
6050|20170114|00105153486|11|1|1307944
6050|20170114|00105153486|12|1|1307944
6050|20170114|00105152337|11|1|1306688
6050|20170114|00105152337|12|1|1306688
6050|20170114|00105152337|9||1306688
6050|20170114|00105153484|9||1307942
6050|20170114|00105153484|11|1|1307942
6050|20170114|00105153484|12|1|1307942
6050|20170114|00105152935|11|1|1307329
6050|20170114|00105152935|12|1|1307329
6050|20170114|00105152935|9||1307329
6050|20170114|00105153483|9||1307941
6050|20170114|00105153483|11|1|1307941
6050|20170114|00105153483|12|1|1307941
6050|20170114|00105153482|11|1|1307940
6050|20170114|00105153482|12|1|1307940
6050|20170114|00105153457|11|1|1307909
6050|20170114|00105153457|12|1|1307909
6050|20170114|00105153457|9||1307909
6050|20170114|00105153481|9||1307939
6050|20170114|00105153481|11|1|1307939
6050|20170114|00105153481|12|1|1307939
6050|20170114|00105153480|11|1|1307938
6050|20170114|00105153480|12|1|1307938
6050|20170114|00105153478|11|1|1307936
6050|20170114|00105153478|12|1|1307936
6050|20170114|00105153478|9||1307936
6050|20170114|00105153479|11|1|1307937
6050|20170114|00105153479|12|1|1307937
6050|20170114|00105153479|9||1307937
6050|20170114|00105153477|11|1|1307934
6050|20170114|00105153477|12|1|1307934
6050|20170114|00105127242|11|1|1307935
6050|20170114|00105127242|9||1307935
6050|20170114|00105127242|12|1|1307935
6050|20170114|00105153476|11|1|1307933
6050|20170114|00105153476|9||1307933
6050|20170114|00105153476|12|1|1307933
6050|20170114|00105153475|11|1|1307932
6050|20170114|00105153475|12|1|1307932
6050|20170114|00105153474|11|1|1307931
6050|20170114|00105153474|9||1307931
6050|20170114|00105153474|12|1|1307931
