datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170128|BSIM|803892|2296213|BSIM|803892|2296213|2017011|20170116|20170214|105.153.837|00105153837|0| | |20170201| | |1|1.0000|0.00|15000.00|SLCAXC|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|KABR|1068831|2296213|KABR|1068831|2296213|2017011|20170116|20170214|105.153.842|00105153842|0| | |20170201| | |0|1.0000|292683.00|0.00|SLCAXC|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|POLSINM|1066016|2296213|POLSINM|1066016|2296213|2017011|20170116|20170214|105.153.839|00105153839|0| | |20170201|20270201| |0|1.0000|30000.00|0.00|SLFNE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|KABR|1068831|2296213|KABR|1068831|2296213|2017011|20170116|20170214|105.153.846|00105153846|0| | |20170201| | |0|1.0000|292683.00|0.00|SLCAXC|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|POLSINM|1066016|2296213|POLSINM|1066016|2296213|2017011|20170116|20170214|105.153.849|00105153849|0| | |20170201|20270201| |0|1.0000|30000.00|0.00|SLFIE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ECZR|2234223|2296213|ECZR|2234223|2296213|2017011|20170116|20170214|105.153.853|00105153853|0| | |20170201|20371201| |12|1.0000|0.00|6768.00|SLFVD1|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|MASG|2588408|2296213|MASG|2588408|2296213|2017011|20170116|20170214|105.153.854|00105153854|0| | |20170201|20340201| |0|1.0000|48780.00|0.00|SLFIE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.861|00105153861|0| | |20170116|20300116| |1|1.0000|0.00|3038.40|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|POLSINM|1066016|2296213|POLSINM|1066016|2296213|2017011|20170116|20170214|105.153.863|00105153863|0| | |20170201|20270201| |0|1.0000|48780.00|0.00|SLFNE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.864|00105153864|0| | |20170116|20300116| |1|1.0000|0.00|2085.30|SLR40|1.0000|0.00|0| | | |Offerte Easy
